,deltaT,digital_i,analog_i,digital_time,analog_time,digital_ToT,analog_ToT
103,0.044020652770996094,108,156,1666206579.2057917,1666206579.161771,7.11,7.55
104,0.05086994171142578,110,158,1666206587.457433,1666206587.406563,15.07,15.65
105,0.03269028663635254,112,160,1666206609.3679042,1666206609.335214,5.24,5.89
106,0.03906059265136719,113,161,1666206613.1335666,1666206613.094506,7.75,8.33
107,0.02763223648071289,114,163,1666206624.4756982,1666206624.448066,6.0,6.78
108,0.004930973052978516,115,164,1666206625.4112709,1666206625.40634,6.68,7.38
109,0.050722599029541016,116,165,1666206631.9736953,1666206631.9229727,5.46,6.02
110,0.0021889209747314453,117,167,1666206636.478307,1666206636.476118,6.46,7.07
111,0.054273128509521484,118,168,1666206637.0662062,1666206637.011933,3.76,24.77
112,0.03889036178588867,119,169,1666206643.293628,1666206643.2547376,7.42,7.9
113,0.005096435546875,121,171,1666206649.7155015,1666206649.720598,1.48,2.29
114,0.048548221588134766,122,172,1666206651.0041673,1666206650.955619,7.11,7.72
115,0.05009007453918457,123,173,1666206655.0639713,1666206655.0138812,6.44,7.02
116,0.01983475685119629,124,174,1666206662.0702066,1666206662.0900414,10.58,11.15
117,0.04593491554260254,125,176,1666206683.398577,1666206683.352642,7.03,7.54
118,0.005995750427246094,126,177,1666206690.4491167,1666206690.443121,2.28,3.13
119,0.04383254051208496,127,180,1666206707.441608,1666206707.3977754,2.32,3.14
120,0.0060350894927978516,128,183,1666206733.6094933,1666206733.6034582,17.29,17.89
121,0.01614212989807129,129,184,1666206734.7200117,1666206734.7361538,6.72,7.26
122,0.037224769592285156,130,188,1666206745.3025532,1666206745.2653284,6.39,7.01
123,0.008718252182006836,131,190,1666206746.790661,1666206746.7993793,7.41,8.08
124,0.0029397010803222656,132,191,1666206751.4664016,1666206751.4693413,4.12,4.81
125,0.0022110939025878906,133,194,1666206788.0787003,1666206788.0764892,7.09,7.69
126,0.009662151336669922,134,196,1666206792.5010445,1666206792.5107067,20.2,20.8
127,0.020238876342773438,135,199,1666206806.7160616,1666206806.7363005,16.32,16.89
128,0.0010361671447753906,136,200,1666206810.9207397,1666206810.9197035,7.99,8.55
129,0.006805896759033203,137,202,1666206816.4112537,1666206816.4180596,1.27,2.07
130,0.0,138,204,1666206819.9603822,1666206819.9603822,4.74,5.41
131,0.006810426712036133,139,205,1666206825.5645325,1666206825.571343,7.34,7.92
132,0.039051055908203125,140,206,1666206829.239775,1666206829.200724,7.7,8.31
133,0.008883237838745117,142,207,1666206831.522023,1666206831.5309062,5.58,6.21
134,0.012486934661865234,143,208,1666206831.877598,1666206831.890085,5.28,5.83
135,0.008609533309936523,144,209,1666206832.2658331,1666206832.2744427,6.68,7.24
136,0.045313358306884766,145,210,1666206838.8975654,1666206838.852252,6.86,7.54
137,0.0418858528137207,146,211,1666206852.8693533,1666206852.8274674,3.92,4.68
138,0.043442487716674805,147,212,1666206853.37459,1666206853.3311474,1.6,2.78
139,0.004566669464111328,148,213,1666206854.091298,1666206854.0958648,1.76,2.63
140,2.384185791015625e-07,149,215,1666206857.711892,1666206857.7118921,5.87,6.5
141,0.0029964447021484375,150,220,1666206871.053059,1666206871.0560555,6.82,7.44
142,0.050962209701538086,151,221,1666206872.1746194,1666206872.1236572,7.15,7.57
143,0.006981372833251953,152,223,1666206878.9628727,1666206878.969854,3.92,4.54
144,0.05035066604614258,153,224,1666206881.7535536,1666206881.703203,6.9,7.6
145,0.004474163055419922,154,227,1666206900.0681045,1666206900.0636303,6.54,7.07
146,0.026633024215698242,155,228,1666206908.499102,1666206908.472469,6.4,6.91
147,0.04726910591125488,156,229,1666206910.5798695,1666206910.5326004,6.42,6.91
148,0.002144336700439453,157,230,1666206911.917573,1666206911.9197173,6.96,7.44
149,0.006998538970947266,158,231,1666206913.2400174,1666206913.247016,6.56,7.06
150,0.002944469451904297,159,233,1666206918.129121,1666206918.1261766,6.18,6.86
151,0.045223236083984375,160,234,1666206921.4793398,1666206921.4341166,8.08,8.69
152,0.037635087966918945,161,235,1666206926.0988882,1666206926.061253,6.48,7.05
153,0.05319714546203613,162,236,1666206930.033374,1666206929.980177,6.26,6.76
154,0.020498991012573242,163,237,1666206930.669387,1666206930.689886,7.7,8.26
155,0.04328298568725586,164,238,1666206932.413373,1666206932.37009,2.85,3.76
156,0.05088448524475098,165,239,1666206943.5978007,1666206943.5469162,5.28,5.87
157,0.044419288635253906,166,242,1666206952.4445338,1666206952.4001145,5.96,6.47
158,0.042952775955200195,167,244,1666206960.047418,1666206960.0044653,6.52,7.07
159,0.023905277252197266,168,245,1666206962.801618,1666206962.8255234,7.12,7.71
160,0.02400946617126465,169,248,1666206972.2493174,1666206972.2733269,5.5,6.38
161,0.0009963512420654297,170,250,1666206974.7990782,1666206974.8000746,7.07,7.65
162,0.005123138427734375,171,251,1666206977.3516586,1666206977.3465354,6.17,6.68
163,0.043710947036743164,172,254,1666206980.9084885,1666206980.8647776,9.61,10.19
164,0.004033088684082031,173,256,1666206982.4744186,1666206982.4784517,5.28,5.98
165,0.0013735294342041016,174,258,1666206985.5216146,1666206985.522988,6.14,6.5
166,0.04386711120605469,175,259,1666206987.211907,1666206987.1680398,3.89,4.74
167,0.0009961128234863281,176,260,1666206996.2998335,1666206996.3008296,6.48,7.08
168,0.021153926849365234,177,265,1666207015.5610223,1666207015.5821762,7.42,7.96
169,0.005604982376098633,178,266,1666207035.9906273,1666207035.9962323,6.81,7.52
170,0.006242036819458008,179,269,1666207074.1297038,1666207074.1359458,8.18,8.77
171,0.03188443183898926,180,274,1666207124.4284043,1666207124.39652,6.94,7.58
172,0.004946470260620117,181,275,1666207126.081805,1666207126.0867515,6.16,6.71
173,0.009231328964233398,182,277,1666207128.7758043,1666207128.7850356,17.37,17.99
174,0.0040476322174072266,183,278,1666207130.6983757,1666207130.7024233,2.82,3.72
175,0.0406498908996582,184,280,1666207134.8893669,1666207134.848717,7.0,7.49
176,0.006440877914428711,186,282,1666207145.963993,1666207145.970434,13.18,13.71
177,0.007590293884277344,187,286,1666207157.9245543,1666207157.9321446,6.44,7.05
178,0.03058934211730957,188,289,1666207164.8506258,1666207164.8200364,17.47,18.04
179,0.05155181884765625,189,290,1666207165.3955517,1666207165.3439999,5.98,6.59
180,0.04726076126098633,190,292,1666207174.4347818,1666207174.387521,7.84,8.4
181,0.02367854118347168,191,293,1666207178.6547325,1666207178.678411,14.02,14.64
182,0.03674960136413574,192,296,1666207190.3301706,1666207190.293421,6.76,7.21
183,0.04376697540283203,193,298,1666207199.9946506,1666207199.9508836,6.53,7.13
184,0.005725383758544922,194,299,1666207205.2527652,1666207205.2470398,7.74,8.19
185,0.030566692352294922,195,300,1666207207.914678,1666207207.8841114,6.57,7.11
186,0.0019199848175048828,196,301,1666207211.105877,1666207211.107797,6.22,6.88
187,0.024527549743652344,197,302,1666207218.0430038,1666207218.0184762,2.84,3.45
188,0.003249645233154297,198,303,1666207222.504566,1666207222.5078156,6.8,7.29
189,0.007977724075317383,199,304,1666207231.3838906,1666207231.3918684,6.08,6.69
190,0.025964021682739258,200,305,1666207231.790097,1666207231.764133,7.28,7.82
191,0.054169416427612305,201,306,1666207233.1220915,1666207233.067922,6.92,7.57
192,0.02882528305053711,202,307,1666207234.0486734,1666207234.019848,7.04,7.66
193,0.006915092468261719,203,308,1666207246.3669424,1666207246.3600273,7.14,7.69
194,0.007990121841430664,205,310,1666207257.931583,1666207257.9235928,6.39,6.93
195,0.0015211105346679688,206,312,1666207262.7013435,1666207262.6998224,19.45,20.01
196,0.006935834884643555,207,314,1666207282.8130374,1666207282.8061016,6.76,7.36
197,0.03662848472595215,208,315,1666207291.5519786,1666207291.51535,7.58,8.21
198,0.0015575885772705078,209,316,1666207293.2822375,1666207293.283795,8.12,8.69
199,0.05204939842224121,210,317,1666207295.7165606,1666207295.6645112,20.13,20.66
200,0.004230976104736328,211,318,1666207298.2021642,1666207298.1979332,6.7,7.22
201,0.0037534236907958984,212,319,1666207301.7664082,1666207301.7626548,6.2,6.81
202,0.016130447387695312,213,320,1666207303.4085925,1666207303.424723,6.12,6.79
203,0.052060842514038086,214,321,1666207310.648018,1666207310.595957,7.24,7.78
204,0.004678010940551758,215,324,1666207330.9760103,1666207330.9806883,8.23,8.92
205,0.0019872188568115234,216,327,1666207348.3344429,1666207348.3324556,7.19,7.8
206,0.008573532104492188,217,329,1666207355.1983302,1666207355.2069037,6.16,6.71
