,REL,SEC,SOUR,SOURSTAT,STAT,READ
221,15.29867,1656231353.0,-59.99882,136,8,-4.293582e-09
222,15.36789,1656231353.0,-59.99875,136,8,-4.063002e-09
223,15.43712,1656231353.0,-59.9988,136,8,-4.493532e-09
224,15.50634,1656231353.0,-59.99884,136,8,-4.333137e-09
225,15.57555,1656231353.0,-59.99885,136,8,-4.536527e-09
226,15.64478,1656231353.0,-59.99884,136,8,-4.418123e-09
227,15.71401,1656231353.0,-59.99883,136,8,-4.668124e-09
228,15.78323,1656231354.0,-59.99879,136,8,-4.338909e-09
229,15.85245,1656231354.0,-59.9988,136,8,-4.224119e-09
230,15.92168,1656231354.0,-59.99885,136,8,-4.510651e-09
231,15.99091,1656231354.0,-59.99887,136,8,-5.107406e-09
232,16.06013,1656231354.0,-59.99886,136,8,-4.571131e-09
233,16.12935,1656231354.0,-59.99881,136,8,-5.101258e-09
234,16.19858,1656231354.0,-59.99875,136,8,-4.246707e-09
235,16.26781,1656231354.0,-59.9988,136,8,-5.002282e-09
236,16.33704,1656231354.0,-59.99871,136,8,-4.314353e-09
237,16.40627,1656231354.0,-59.99886,136,8,-4.568514e-09
238,16.4755,1656231354.0,-59.99884,136,8,-4.843167e-09
239,16.54472,1656231354.0,-59.99874,136,8,-4.357871e-09
