,REL,SEC,SOUR,SOURSTAT,STAT,READ
234,16.19947,1656243101.0,-59.99844,136,8,-3.114371e-08
235,16.26869,1656243101.0,-59.99852,136,8,-3.154917e-08
236,16.33792,1656243101.0,-59.99862,136,8,-3.194215e-08
237,16.40714,1656243101.0,-59.99844,136,8,-3.120632e-08
238,16.47636,1656243102.0,-59.99855,136,8,-3.17171e-08
239,16.54559,1656243102.0,-59.99858,136,8,-3.165868e-08
240,16.61482,1656243102.0,-59.99862,136,8,-3.197573e-08
241,16.68405,1656243102.0,-59.99852,136,8,-3.140357e-08
242,16.75328,1656243102.0,-59.99848,136,8,-3.11848e-08
243,16.82252,1656243102.0,-59.9985,136,8,-3.170921e-08
244,16.89175,1656243102.0,-59.99851,136,8,-3.158076e-08
245,16.96098,1656243102.0,-59.99855,136,8,-3.176228e-08
246,17.0302,1656243102.0,-59.9985,136,8,-3.147789e-08
247,17.09942,1656243102.0,-59.99858,136,8,-3.151339e-08
248,17.16866,1656243102.0,-59.99854,136,8,-3.149463e-08
249,17.23789,1656243102.0,-59.99855,136,8,-3.180201e-08
250,17.30713,1656243102.0,-59.99852,136,8,-3.157923e-08
251,17.37637,1656243102.0,-59.99855,136,8,-3.121519e-08
252,17.4456,1656243103.0,-59.99853,136,8,-3.13413e-08
253,17.51482,1656243103.0,-59.99857,136,8,-3.179701e-08
254,17.58404,1656243103.0,-59.99846,136,8,-3.110142e-08
255,17.65326,1656243103.0,-59.99846,136,8,-3.142441e-08
256,17.72249,1656243103.0,-59.99851,136,8,-3.148405e-08
257,17.79172,1656243103.0,-59.99855,136,8,-3.153065e-08
258,17.86095,1656243103.0,-59.99856,136,8,-3.173219e-08
259,17.93017,1656243103.0,-59.9985,136,8,-3.157587e-08
260,17.9994,1656243103.0,-59.99849,136,8,-3.17124e-08
261,18.06863,1656243103.0,-59.99846,136,8,-3.128873e-08
262,18.13786,1656243103.0,-59.99857,136,8,-3.189469e-08
263,18.20709,1656243103.0,-59.99854,136,8,-3.126049e-08
264,18.27633,1656243103.0,-59.99854,136,8,-3.149171e-08
265,18.34558,1656243103.0,-59.99856,136,8,-3.176828e-08
266,18.41482,1656243103.0,-59.99843,136,8,-3.130755e-08
267,18.48405,1656243104.0,-59.99844,136,8,-3.120214e-08
268,18.55327,1656243104.0,-59.99858,136,8,-3.184358e-08
269,18.62251,1656243104.0,-59.99858,136,8,-3.178933e-08
270,18.69173,1656243104.0,-59.99842,136,8,-3.082175e-08
271,18.76095,1656243104.0,-59.9985,136,8,-3.1419e-08
272,18.83018,1656243104.0,-59.99831,136,8,-3.123591e-08
273,18.8994,1656243104.0,-59.99476,136,8,-1.000025e-07
274,19.54818,1656243105.0,-59.99862,136,8,-7.910688e-08
275,19.61741,1656243105.0,-59.99945,136,8,-1.156429e-07
276,19.68664,1656243105.0,-59.99937,136,8,-1.238639e-07
277,19.75588,1656243105.0,-59.99854,136,8,-1.024849e-07
278,20.6951,1656243106.0,-59.99854,136,8,-1.089055e-07
279,20.76432,1656243106.0,-59.99837,136,8,-1.003721e-07
280,20.83355,1656243106.0,-59.99966,136,8,-1.146656e-07
281,21.77276,1656243107.0,-60.00056,136,8,-1.110739e-07
282,21.84199,1656243107.0,-59.99816,136,8,-1.132578e-07
283,22.78119,1656243108.0,-59.99883,136,8,-1.131655e-07
284,22.85041,1656243108.0,-59.99811,136,8,-1.806969e-07
285,22.91964,1656243108.0,-59.99792,136,8,-1.089392e-07
286,22.98886,1656243108.0,-59.99808,136,8,-1.278659e-07
287,23.9281,1656243109.0,-59.99931,136,8,-1.029633e-07
288,23.99734,1656243109.0,-59.99996,136,8,-1.321687e-07
289,24.93655,1656243110.0,-59.99896,136,8,-1.46994e-07
290,25.87577,1656243111.0,-59.99873,136,8,-9.638828e-08
