,Rows,Cols
309,9,7
310,9,8
311,9,9
312,9,10
313,9,11
314,9,12
315,9,13
316,9,14
317,9,15
318,9,16
319,9,17
320,9,18
321,9,19
322,9,20
323,9,21
324,9,22
325,9,23
326,9,24
327,9,25
328,9,26
329,9,27
330,9,28
331,9,29
332,9,30
333,9,31
334,9,33
335,10,0
336,10,1
337,10,2
338,10,3
339,10,4
340,10,5
341,10,6
342,10,7
343,10,8
344,10,9
345,10,10
346,10,11
347,10,12
348,10,13
349,10,14
350,10,15
351,10,16
352,10,17
353,10,18
354,10,19
355,10,20
356,10,21
357,10,22
358,10,23
359,10,24
360,10,25
361,10,26
362,10,27
363,10,28
364,10,30
365,10,31
366,10,32
367,10,33
368,10,34
369,11,0
370,11,1
371,11,2
372,11,3
373,11,4
374,11,5
375,11,6
376,11,7
377,11,8
378,11,9
379,11,10
380,11,11
381,11,12
382,11,13
383,11,15
384,11,16
385,11,17
386,11,18
387,11,19
388,11,20
389,11,21
390,11,22
391,11,23
392,11,24
393,11,25
394,11,26
395,11,27
396,11,28
397,11,30
398,11,31
399,11,32
400,11,33
401,11,34
402,12,0
403,12,1
404,12,2
405,12,3
406,12,4
407,12,5
408,12,6
409,12,7
410,12,8
411,12,9
412,12,10
413,12,11
414,12,12
415,12,13
416,12,14
417,12,15
418,12,16
419,12,17
420,12,18
421,12,19
422,12,20
423,12,21
424,12,22
425,12,24
426,12,25
427,12,27
428,12,28
429,12,29
430,12,30
431,12,31
432,12,33
433,12,34
434,13,0
435,13,1
436,13,2
437,13,3
438,13,4
439,13,5
440,13,6
441,13,8
442,13,9
443,13,10
444,13,11
445,13,12
446,13,13
447,13,15
448,13,16
449,13,17
450,13,18
451,13,19
452,13,20
453,13,21
454,13,22
455,13,23
456,13,24
457,13,25
458,13,26
459,13,27
460,13,28
461,13,29
462,13,30
463,13,31
464,13,32
465,13,33
466,13,34
467,14,0
468,14,1
469,14,2
470,14,3
471,14,4
472,14,5
473,14,6
474,14,7
475,14,8
476,14,9
477,14,10
478,14,11
479,14,12
480,14,13
481,14,14
482,14,15
483,14,16
484,14,17
485,14,18
486,14,19
487,14,20
488,14,21
489,14,22
490,14,23
491,14,24
492,14,25
493,14,26
494,14,27
495,14,28
496,14,29
497,14,30
498,14,31
499,14,32
500,14,33
501,14,34
502,15,0
503,15,1
504,15,2
505,15,3
506,15,4
507,15,5
508,15,6
509,15,7
510,15,8
511,15,9
512,15,10
513,15,11
514,15,12
515,15,13
516,15,14
517,15,15
518,15,16
519,15,17
520,15,18
521,15,19
522,15,20
523,15,21
524,15,22
525,15,23
526,15,24
527,15,26
528,15,27
529,15,28
530,15,30
531,15,31
532,15,32
533,15,33
534,15,34
535,16,0
536,16,1
537,16,2
538,16,3
539,16,4
540,16,5
541,16,6
542,16,7
543,16,8
544,16,9
545,16,10
546,16,11
547,16,12
548,16,13
549,16,14
550,16,15
551,16,16
552,16,17
553,16,18
554,16,19
555,16,20
556,16,21
557,16,22
558,16,23
559,16,24
560,16,25
561,16,26
562,16,27
563,16,28
564,16,29
565,16,30
566,16,31
567,16,33
568,16,34
569,17,0
570,17,1
571,17,2
572,17,3
573,17,4
574,17,5
575,17,6
576,17,7
577,17,8
578,17,9
579,17,10
580,17,11
581,17,12
582,17,13
583,17,14
584,17,15
585,17,16
586,17,17
587,17,18
588,17,19
589,17,20
590,17,21
591,17,22
592,17,23
593,17,24
594,17,25
595,17,26
596,17,27
597,17,28
598,17,29
599,17,30
600,17,31
601,17,32
602,17,33
603,17,34
604,18,0
605,18,1
606,18,2
607,18,3
608,18,4
609,18,5
610,18,6
611,18,7
612,18,8
613,18,9
614,18,10
615,18,11
616,18,12
617,18,13
618,18,14
619,18,15
620,18,16
621,18,17
622,18,18
623,18,19
624,18,20
625,18,21
626,18,22
627,18,23
628,18,24
629,18,25
630,18,26
631,18,27
632,18,28
633,18,29
634,18,30
635,18,31
636,18,32
637,18,33
638,18,34
639,19,0
640,19,1
641,19,2
642,19,3
643,19,4
644,19,5
645,19,6
646,19,7
647,19,8
648,19,9
649,19,10
650,19,11
651,19,12
652,19,13
653,19,14
654,19,15
655,19,16
656,19,17
657,19,18
658,19,19
659,19,20
660,19,21
661,19,22
662,19,24
663,19,25
664,19,26
665,19,27
666,19,28
667,19,29
668,19,30
669,19,31
670,19,32
671,19,33
672,20,0
673,20,1
674,20,2
675,20,3
676,20,4
677,20,5
678,20,6
679,20,7
680,20,8
681,20,9
682,20,10
683,20,11
684,20,12
685,20,13
686,20,14
687,20,15
688,20,16
689,20,17
690,20,18
691,20,19
692,20,20
693,20,21
694,20,22
695,20,23
696,20,24
697,20,25
698,20,26
699,20,27
700,20,28
701,20,29
702,20,30
703,20,31
704,20,32
705,20,33
706,20,34
707,21,0
708,21,1
709,21,2
710,21,3
711,21,4
712,21,5
713,21,6
714,21,7
715,21,8
716,21,9
717,21,10
718,21,11
719,21,12
720,21,13
721,21,14
722,21,15
723,21,16
724,21,17
725,21,18
726,21,19
727,21,20
728,21,21
729,21,22
730,21,23
731,21,24
732,21,25
733,21,26
734,21,27
735,21,28
736,21,29
737,21,30
738,21,31
739,21,32
740,21,33
741,21,34
742,22,0
743,22,1
744,22,2
745,22,3
746,22,4
747,22,5
748,22,6
749,22,7
750,22,8
751,22,9
752,22,10
753,22,11
754,22,12
755,22,13
756,22,15
757,22,16
758,22,17
759,22,18
760,22,19
761,22,20
762,22,21
763,22,22
764,22,23
765,22,24
766,22,25
767,22,26
768,22,27
769,22,28
770,22,29
771,22,30
772,22,31
773,22,32
774,22,33
775,22,34
776,23,0
777,23,1
778,23,2
779,23,3
780,23,4
781,23,5
782,23,6
783,23,8
784,23,9
785,23,10
786,23,11
787,23,12
788,23,13
789,23,14
790,23,15
791,23,16
792,23,17
793,23,18
794,23,19
795,23,20
796,23,21
797,23,22
798,23,24
799,23,25
800,23,26
801,23,27
802,23,28
803,23,29
804,23,30
805,23,32
806,23,34
807,24,1
808,24,2
809,24,3
810,24,4
811,24,5
812,24,6
813,24,7
814,24,9
815,24,10
816,24,11
817,24,12
818,24,13
819,24,14
820,24,15
821,24,16
822,24,17
823,24,18
824,24,19
825,24,20
826,24,21
827,24,22
828,24,23
829,24,24
830,24,25
831,24,26
832,24,27
833,24,28
834,24,29
835,24,30
836,24,31
837,24,32
838,24,33
839,24,34
840,25,0
841,25,1
842,25,2
843,25,3
844,25,5
845,25,6
846,25,7
847,25,8
848,25,9
849,25,10
850,25,11
851,25,13
852,25,14
853,25,15
854,25,16
855,25,17
856,25,18
857,25,19
858,25,20
859,25,21
860,25,22
861,25,24
862,25,25
863,25,26
864,25,27
865,25,28
866,25,29
867,25,30
868,25,31
869,25,32
870,25,33
871,25,34
872,26,0
873,26,1
874,26,2
875,26,3
876,26,4
877,26,5
878,26,6
879,26,7
880,26,8
881,26,9
882,26,10
883,26,11
884,26,12
885,26,13
886,26,14
887,26,15
888,26,16
889,26,17
890,26,18
891,26,19
892,26,20
893,26,21
894,26,22
895,26,23
896,26,24
897,26,25
898,26,26
899,26,27
900,26,28
901,26,29
902,26,30
903,26,31
904,26,32
905,26,33
906,26,34
907,27,0
908,27,1
909,27,2
910,27,3
911,27,4
912,27,5
913,27,6
914,27,7
915,27,8
916,27,9
917,27,10
918,27,11
919,27,12
920,27,13
921,27,14
922,27,15
923,27,16
924,27,17
925,27,18
926,27,19
927,27,20
928,27,21
929,27,22
930,27,23
931,27,24
932,27,25
933,27,26
934,27,27
935,27,28
936,27,29
937,27,30
938,27,31
939,27,34
940,28,0
941,28,1
942,28,2
943,28,3
944,28,4
945,28,5
946,28,6
947,28,7
948,28,8
949,28,9
950,28,10
951,28,11
952,28,12
953,28,13
954,28,14
955,28,16
956,28,17
957,28,18
958,28,19
959,28,20
960,28,21
961,28,22
962,28,23
963,28,24
964,28,25
965,28,26
966,28,27
967,28,28
968,28,29
969,28,30
970,28,31
971,28,32
972,28,33
973,28,34
974,29,0
975,29,1
976,29,2
977,29,3
978,29,4
979,29,5
980,29,6
981,29,7
982,29,8
983,29,9
984,29,10
985,29,11
986,29,12
987,29,13
988,29,14
989,29,15
990,29,16
991,29,17
992,29,18
993,29,19
994,29,20
995,29,21
996,29,22
997,29,23
998,29,24
999,29,25
1000,29,26
1001,29,27
1002,29,28
1003,29,29
1004,29,30
1005,29,31
1006,29,32
1007,29,33
1008,29,34
1009,30,0
1010,30,1
1011,30,2
1012,30,3
1013,30,4
1014,30,5
1015,30,6
1016,30,7
1017,30,8
1018,30,9
1019,30,10
1020,30,11
1021,30,12
1022,30,13
1023,30,14
1024,30,15
1025,30,16
1026,30,17
1027,30,18
1028,30,19
1029,30,20
1030,30,21
1031,30,22
1032,30,23
1033,30,24
1034,30,25
1035,30,26
1036,30,28
1037,30,29
1038,30,30
1039,30,31
1040,30,32
1041,30,33
1042,30,34
1043,31,0
1044,31,1
1045,31,2
1046,31,3
1047,31,4
1048,31,5
1049,31,6
1050,31,7
1051,31,8
1052,31,9
1053,31,10
1054,31,11
1055,31,12
1056,31,13
1057,31,14
1058,31,15
1059,31,16
1060,31,17
1061,31,18
1062,31,19
1063,31,20
1064,31,21
1065,31,22
1066,31,23
1067,31,24
1068,31,25
1069,31,26
1070,31,27
1071,31,28
1072,31,29
1073,31,30
1074,31,31
1075,31,32
1076,31,33
1077,31,34
1078,32,0
1079,32,1
1080,32,2
1081,32,3
1082,32,4
1083,32,5
1084,32,6
1085,32,7
1086,32,8
1087,32,9
1088,32,10
1089,32,11
1090,32,12
1091,32,13
1092,32,14
1093,32,15
1094,32,16
1095,32,17
1096,32,18
1097,32,19
1098,32,20
1099,32,21
1100,32,22
1101,32,23
1102,32,24
1103,32,25
1104,32,26
1105,32,27
1106,32,28
1107,32,29
1108,32,30
1109,32,31
1110,32,32
1111,32,34
1112,33,0
1113,33,1
1114,33,2
1115,33,3
1116,33,4
1117,33,5
1118,33,6
1119,33,7
1120,33,8
1121,33,9
1122,33,10
1123,33,11
1124,33,12
1125,33,13
1126,33,14
1127,33,15
1128,33,16
1129,33,17
1130,33,18
1131,33,19
1132,33,20
1133,33,21
1134,33,22
1135,33,23
1136,33,24
1137,33,25
1138,33,26
1139,33,27
1140,33,28
1141,33,29
1142,33,30
1143,33,31
1144,33,32
1145,33,33
1146,33,34
1147,34,0
1148,34,1
1149,34,2
1150,34,3
1151,34,4
1152,34,5
1153,34,6
1154,34,7
1155,34,8
1156,34,9
1157,34,10
1158,34,11
1159,34,12
1160,34,13
1161,34,14
1162,34,15
1163,34,16
1164,34,17
1165,34,18
1166,34,19
1167,34,20
1168,34,21
1169,34,22
1170,34,23
1171,34,24
1172,34,25
1173,34,26
1174,34,27
1175,34,28
1176,34,29
1177,34,30
1178,34,31
1179,34,32
1180,34,33
1181,34,34
